Date,Scheme,Code,NAV
2026-04-17,Nippon Large Cap,118632,100.7903
2026-04-20,Nippon Large Cap,118632,100.9566
2026-04-21,Nippon Large Cap,118632,101.9645
2026-04-22,Nippon Large Cap,118632,101.5803
2026-04-23,Nippon Large Cap,118632,100.8016
2026-04-24,Nippon Large Cap,118632,99.76
2026-04-27,Nippon Large Cap,118632,100.6093
2026-04-28,Nippon Large Cap,118632,99.9782
2026-04-29,Nippon Large Cap,118632,100.3928
2026-04-30,Nippon Large Cap,118632,99.5502
2026-05-04,Nippon Large Cap,118632,100.0932
2026-05-05,Nippon Large Cap,118632,99.9072
2026-05-06,Nippon Large Cap,118632,101.1725
2026-05-07,Nippon Large Cap,118632,101.2917
2026-05-08,Nippon Large Cap,118632,100.4981
2026-05-11,Nippon Large Cap,118632,99.2007
2026-05-12,Nippon Large Cap,118632,97.1846
2026-05-13,Nippon Large Cap,118632,97.169
2026-05-14,Nippon Large Cap,118632,98.0606
2026-05-15,Nippon Large Cap,118632,98.0059
2026-05-18,Nippon Large Cap,118632,97.9372
2026-05-19,Nippon Large Cap,118632,98.1289
2026-05-20,Nippon Large Cap,118632,98.3933
2026-05-21,Nippon Large Cap,118632,98.3781
2026-05-22,Nippon Large Cap,118632,98.7497
2026-05-25,Nippon Large Cap,118632,99.8047
2026-05-26,Nippon Large Cap,118632,99.4356
2026-05-27,Nippon Large Cap,118632,99.8092
2026-05-29,Nippon Large Cap,118632,98.4656
2026-06-01,Nippon Large Cap,118632,97.1944
2026-04-17,Axis Bluechip,119092,6139.2351
2026-04-20,Axis Bluechip,119092,6142.2537
2026-04-21,Axis Bluechip,119092,6142.9601
2026-04-22,Axis Bluechip,119092,6143.3663
2026-04-23,Axis Bluechip,119092,6141.9603
2026-04-24,Axis Bluechip,119092,6142.2018
2026-04-27,Axis Bluechip,119092,6142.5902
2026-04-28,Axis Bluechip,119092,6143.001
2026-04-29,Axis Bluechip,119092,6141.8799
2026-04-30,Axis Bluechip,119092,6140.1614
2026-05-04,Axis Bluechip,119092,6145.7049
2026-05-05,Axis Bluechip,119092,6146.0001
2026-05-06,Axis Bluechip,119092,6149.0307
2026-05-07,Axis Bluechip,119092,6149.9098
2026-05-08,Axis Bluechip,119092,6151.3707
2026-05-11,Axis Bluechip,119092,6151.8671
2026-05-12,Axis Bluechip,119092,6150.5076
2026-05-13,Axis Bluechip,119092,6150.1257
2026-05-14,Axis Bluechip,119092,6148.9361
2026-05-15,Axis Bluechip,119092,6148.3016
2026-05-18,Axis Bluechip,119092,6148.4847
2026-05-19,Axis Bluechip,119092,6149.7598
2026-05-20,Axis Bluechip,119092,6147.5856
2026-05-21,Axis Bluechip,119092,6142.8808
2026-05-22,Axis Bluechip,119092,6142.638
2026-05-25,Axis Bluechip,119092,6144.8478
2026-05-26,Axis Bluechip,119092,6144.0004
2026-05-27,Axis Bluechip,119092,6146.6118
2026-05-29,Axis Bluechip,119092,6151.1139
2026-06-01,Axis Bluechip,119092,6156.7532
2026-04-17,SBI Bluechip,119551,104.7821
2026-04-20,SBI Bluechip,119551,104.8369
2026-04-21,SBI Bluechip,119551,104.847
2026-04-22,SBI Bluechip,119551,104.8473
2026-04-23,SBI Bluechip,119551,104.7652
2026-04-24,SBI Bluechip,119551,104.7091
2026-04-27,SBI Bluechip,119551,104.7771
2026-04-28,SBI Bluechip,119551,104.7428
2026-04-29,SBI Bluechip,119551,104.6594
2026-04-30,SBI Bluechip,119551,104.5706
2026-05-04,SBI Bluechip,119551,104.6544
2026-05-05,SBI Bluechip,119551,104.6166
2026-05-06,SBI Bluechip,119551,104.8043
2026-05-07,SBI Bluechip,119551,104.8762
2026-05-08,SBI Bluechip,119551,104.8696
2026-05-11,SBI Bluechip,119551,104.8053
2026-05-12,SBI Bluechip,119551,104.7585
2026-05-13,SBI Bluechip,119551,104.7371
2026-05-14,SBI Bluechip,119551,104.7318
2026-05-15,SBI Bluechip,119551,104.5968
2026-05-18,SBI Bluechip,119551,104.3791
2026-05-19,SBI Bluechip,119551,104.4216
2026-05-20,SBI Bluechip,119551,104.3826
2026-05-21,SBI Bluechip,119551,104.285
2026-05-22,SBI Bluechip,119551,104.3467
2026-05-25,SBI Bluechip,119551,104.5215
2026-05-26,SBI Bluechip,119551,104.5269
2026-05-27,SBI Bluechip,119551,104.5833
2026-05-29,SBI Bluechip,119551,104.657
2026-06-01,SBI Bluechip,119551,104.7025
2026-04-20,ICICI Bluechip,120503,106.2063
2026-04-21,ICICI Bluechip,120503,107.2434
2026-04-22,ICICI Bluechip,120503,106.8299
2026-04-23,ICICI Bluechip,120503,106.1301
2026-04-24,ICICI Bluechip,120503,105.0928
2026-04-27,ICICI Bluechip,120503,106.0528
2026-04-28,ICICI Bluechip,120503,105.6212
2026-04-29,ICICI Bluechip,120503,106.0698
2026-04-30,ICICI Bluechip,120503,105.2845
2026-05-04,ICICI Bluechip,120503,105.7449
2026-05-05,ICICI Bluechip,120503,105.8387
2026-05-06,ICICI Bluechip,120503,107.3354
2026-05-07,ICICI Bluechip,120503,107.6729
2026-05-08,ICICI Bluechip,120503,107.15
2026-05-11,ICICI Bluechip,120503,105.6066
2026-05-12,ICICI Bluechip,120503,103.3384
2026-05-13,ICICI Bluechip,120503,103.396
2026-05-14,ICICI Bluechip,120503,104.5531
2026-05-15,ICICI Bluechip,120503,104.2918
2026-05-18,ICICI Bluechip,120503,104.1556
2026-05-19,ICICI Bluechip,120503,104.2767
2026-05-20,ICICI Bluechip,120503,104.6046
2026-05-21,ICICI Bluechip,120503,104.4915
2026-05-22,ICICI Bluechip,120503,104.7708
2026-05-25,ICICI Bluechip,120503,105.9217
2026-05-26,ICICI Bluechip,120503,105.5115
2026-05-27,ICICI Bluechip,120503,105.9296
2026-05-29,ICICI Bluechip,120503,104.3129
2026-05-31,ICICI Bluechip,120503,104.3083
2026-06-01,ICICI Bluechip,120503,103.0948
2026-04-17,Kotak Bluechip,120841,236.2133
2026-04-20,Kotak Bluechip,120841,235.1961
2026-04-21,Kotak Bluechip,120841,236.4598
2026-04-22,Kotak Bluechip,120841,238.5702
2026-04-23,Kotak Bluechip,120841,239.7583
2026-04-24,Kotak Bluechip,120841,238.1456
2026-04-27,Kotak Bluechip,120841,241.2517
2026-04-28,Kotak Bluechip,120841,242.6241
2026-04-29,Kotak Bluechip,120841,242.345
2026-04-30,Kotak Bluechip,120841,240.5353
2026-05-04,Kotak Bluechip,120841,242.7655
2026-05-05,Kotak Bluechip,120841,242.9594
2026-05-06,Kotak Bluechip,120841,245.3878
2026-05-07,Kotak Bluechip,120841,245.6055
2026-05-08,Kotak Bluechip,120841,244.6201
2026-05-11,Kotak Bluechip,120841,242.7219
2026-05-12,Kotak Bluechip,120841,238.1528
2026-05-13,Kotak Bluechip,120841,240.0746
2026-05-14,Kotak Bluechip,120841,243.5314
2026-05-15,Kotak Bluechip,120841,242.0952
2026-05-18,Kotak Bluechip,120841,241.2615
2026-05-19,Kotak Bluechip,120841,241.6771
2026-05-20,Kotak Bluechip,120841,244.7199
2026-05-21,Kotak Bluechip,120841,248.8853
2026-05-22,Kotak Bluechip,120841,247.8039
2026-05-25,Kotak Bluechip,120841,249.2266
2026-05-26,Kotak Bluechip,120841,251.2702
2026-05-27,Kotak Bluechip,120841,251.2273
2026-05-29,Kotak Bluechip,120841,248.6673
2026-06-01,Kotak Bluechip,120841,246.9814
