schemeCode,schemeName
120186,ICICI Prudential US Bluechip Equity Fund - Direct Plan -  Growth
120185,ICICI Prudential US Bluechip Equity Fund - Direct Plan -  IDCW
117620,ICICI Prudential US Bluechip Equity Fund - Growth
117619,ICICI Prudential US Bluechip Equity Fund - IDCW
103455,UTI Bluechip Flexicap Fund - Regular Plan - Dividend Option
103457,UTI Bluechip Flexicap Fund - Regular Plan - Growth option
108467,ICICI Prudential Bluechip Fund - Institutional Option - I - Growth
111381,Principal Emerging Bluechip Fund - Growth Option
111382,Principal Emerging Bluechip Fund - Half Yearly Income Distribution CUM Capital Withdrawal Option
119440,Principal Emerging Bluechip Fund - Direct Plan - Half Yearly Income Distribution CUM Capital Withdrawal Option
119441,Principal Emerging Bluechip Fund - Direct Plan - Growth Option
120756,UTI Bluechip Flexicap Fund - Direct Plan - Dividend Option
120757,UTI Bluechip Flexicap Fund - Direct Plan - Growth Option
108465,ICICI Prudential Large Cap Fund (erstwhile Bluechip Fund)  - IDCW
108466,ICICI Prudential Large Cap Fund (erstwhile Bluechip Fund)  - Growth
