Scheme,Code,Date,NAV
SBI Bluechip,119551,01-06-2026,104.7025
SBI Bluechip,119551,29-05-2026,104.657
SBI Bluechip,119551,27-05-2026,104.5833
SBI Bluechip,119551,26-05-2026,104.5269
SBI Bluechip,119551,25-05-2026,104.5215
SBI Bluechip,119551,22-05-2026,104.3467
SBI Bluechip,119551,21-05-2026,104.285
SBI Bluechip,119551,20-05-2026,104.3826
SBI Bluechip,119551,19-05-2026,104.4216
SBI Bluechip,119551,18-05-2026,104.3791
SBI Bluechip,119551,15-05-2026,104.5968
SBI Bluechip,119551,14-05-2026,104.7318
SBI Bluechip,119551,13-05-2026,104.7371
SBI Bluechip,119551,12-05-2026,104.7585
SBI Bluechip,119551,11-05-2026,104.8053
SBI Bluechip,119551,08-05-2026,104.8696
SBI Bluechip,119551,07-05-2026,104.8762
SBI Bluechip,119551,06-05-2026,104.8043
SBI Bluechip,119551,05-05-2026,104.6166
SBI Bluechip,119551,04-05-2026,104.6544
SBI Bluechip,119551,30-04-2026,104.5706
SBI Bluechip,119551,29-04-2026,104.6594
SBI Bluechip,119551,28-04-2026,104.7428
SBI Bluechip,119551,27-04-2026,104.7771
SBI Bluechip,119551,24-04-2026,104.7091
SBI Bluechip,119551,23-04-2026,104.7652
SBI Bluechip,119551,22-04-2026,104.8473
SBI Bluechip,119551,21-04-2026,104.847
SBI Bluechip,119551,20-04-2026,104.8369
SBI Bluechip,119551,17-04-2026,104.7821
ICICI Bluechip,120503,01-06-2026,103.0948
ICICI Bluechip,120503,31-05-2026,104.3083
ICICI Bluechip,120503,29-05-2026,104.3129
ICICI Bluechip,120503,27-05-2026,105.9296
ICICI Bluechip,120503,26-05-2026,105.5115
ICICI Bluechip,120503,25-05-2026,105.9217
ICICI Bluechip,120503,22-05-2026,104.7708
ICICI Bluechip,120503,21-05-2026,104.4915
ICICI Bluechip,120503,20-05-2026,104.6046
ICICI Bluechip,120503,19-05-2026,104.2767
ICICI Bluechip,120503,18-05-2026,104.1556
ICICI Bluechip,120503,15-05-2026,104.2918
ICICI Bluechip,120503,14-05-2026,104.5531
ICICI Bluechip,120503,13-05-2026,103.396
ICICI Bluechip,120503,12-05-2026,103.3384
ICICI Bluechip,120503,11-05-2026,105.6066
ICICI Bluechip,120503,08-05-2026,107.15
ICICI Bluechip,120503,07-05-2026,107.6729
ICICI Bluechip,120503,06-05-2026,107.3354
ICICI Bluechip,120503,05-05-2026,105.8387
ICICI Bluechip,120503,04-05-2026,105.7449
ICICI Bluechip,120503,30-04-2026,105.2845
ICICI Bluechip,120503,29-04-2026,106.0698
ICICI Bluechip,120503,28-04-2026,105.6212
ICICI Bluechip,120503,27-04-2026,106.0528
ICICI Bluechip,120503,24-04-2026,105.0928
ICICI Bluechip,120503,23-04-2026,106.1301
ICICI Bluechip,120503,22-04-2026,106.8299
ICICI Bluechip,120503,21-04-2026,107.2434
ICICI Bluechip,120503,20-04-2026,106.2063
Nippon Large Cap,118632,01-06-2026,97.1944
Nippon Large Cap,118632,29-05-2026,98.4656
Nippon Large Cap,118632,27-05-2026,99.8092
Nippon Large Cap,118632,26-05-2026,99.4356
Nippon Large Cap,118632,25-05-2026,99.8047
Nippon Large Cap,118632,22-05-2026,98.7497
Nippon Large Cap,118632,21-05-2026,98.3781
Nippon Large Cap,118632,20-05-2026,98.3933
Nippon Large Cap,118632,19-05-2026,98.1289
Nippon Large Cap,118632,18-05-2026,97.9372
Nippon Large Cap,118632,15-05-2026,98.0059
Nippon Large Cap,118632,14-05-2026,98.0606
Nippon Large Cap,118632,13-05-2026,97.169
Nippon Large Cap,118632,12-05-2026,97.1846
Nippon Large Cap,118632,11-05-2026,99.2007
Nippon Large Cap,118632,08-05-2026,100.4981
Nippon Large Cap,118632,07-05-2026,101.2917
Nippon Large Cap,118632,06-05-2026,101.1725
Nippon Large Cap,118632,05-05-2026,99.9072
Nippon Large Cap,118632,04-05-2026,100.0932
Nippon Large Cap,118632,30-04-2026,99.5502
Nippon Large Cap,118632,29-04-2026,100.3928
Nippon Large Cap,118632,28-04-2026,99.9782
Nippon Large Cap,118632,27-04-2026,100.6093
Nippon Large Cap,118632,24-04-2026,99.76
Nippon Large Cap,118632,23-04-2026,100.8016
Nippon Large Cap,118632,22-04-2026,101.5803
Nippon Large Cap,118632,21-04-2026,101.9645
Nippon Large Cap,118632,20-04-2026,100.9566
Nippon Large Cap,118632,17-04-2026,100.7903
Axis Bluechip,119092,01-06-2026,6156.7532
Axis Bluechip,119092,29-05-2026,6151.1139
Axis Bluechip,119092,27-05-2026,6146.6118
Axis Bluechip,119092,26-05-2026,6144.0004
Axis Bluechip,119092,25-05-2026,6144.8478
Axis Bluechip,119092,22-05-2026,6142.638
Axis Bluechip,119092,21-05-2026,6142.8808
Axis Bluechip,119092,20-05-2026,6147.5856
Axis Bluechip,119092,19-05-2026,6149.7598
Axis Bluechip,119092,18-05-2026,6148.4847
Axis Bluechip,119092,15-05-2026,6148.3016
Axis Bluechip,119092,14-05-2026,6148.9361
Axis Bluechip,119092,13-05-2026,6150.1257
Axis Bluechip,119092,12-05-2026,6150.5076
Axis Bluechip,119092,11-05-2026,6151.8671
Axis Bluechip,119092,08-05-2026,6151.3707
Axis Bluechip,119092,07-05-2026,6149.9098
Axis Bluechip,119092,06-05-2026,6149.0307
Axis Bluechip,119092,05-05-2026,6146.0001
Axis Bluechip,119092,04-05-2026,6145.7049
Axis Bluechip,119092,30-04-2026,6140.1614
Axis Bluechip,119092,29-04-2026,6141.8799
Axis Bluechip,119092,28-04-2026,6143.001
Axis Bluechip,119092,27-04-2026,6142.5902
Axis Bluechip,119092,24-04-2026,6142.2018
Axis Bluechip,119092,23-04-2026,6141.9603
Axis Bluechip,119092,22-04-2026,6143.3663
Axis Bluechip,119092,21-04-2026,6142.9601
Axis Bluechip,119092,20-04-2026,6142.2537
Axis Bluechip,119092,17-04-2026,6139.2351
Kotak Bluechip,120841,01-06-2026,246.9814
Kotak Bluechip,120841,29-05-2026,248.6673
Kotak Bluechip,120841,27-05-2026,251.2273
Kotak Bluechip,120841,26-05-2026,251.2702
Kotak Bluechip,120841,25-05-2026,249.2266
Kotak Bluechip,120841,22-05-2026,247.8039
Kotak Bluechip,120841,21-05-2026,248.8853
Kotak Bluechip,120841,20-05-2026,244.7199
Kotak Bluechip,120841,19-05-2026,241.6771
Kotak Bluechip,120841,18-05-2026,241.2615
Kotak Bluechip,120841,15-05-2026,242.0952
Kotak Bluechip,120841,14-05-2026,243.5314
Kotak Bluechip,120841,13-05-2026,240.0746
Kotak Bluechip,120841,12-05-2026,238.1528
Kotak Bluechip,120841,11-05-2026,242.7219
Kotak Bluechip,120841,08-05-2026,244.6201
Kotak Bluechip,120841,07-05-2026,245.6055
Kotak Bluechip,120841,06-05-2026,245.3878
Kotak Bluechip,120841,05-05-2026,242.9594
Kotak Bluechip,120841,04-05-2026,242.7655
Kotak Bluechip,120841,30-04-2026,240.5353
Kotak Bluechip,120841,29-04-2026,242.345
Kotak Bluechip,120841,28-04-2026,242.6241
Kotak Bluechip,120841,27-04-2026,241.2517
Kotak Bluechip,120841,24-04-2026,238.1456
Kotak Bluechip,120841,23-04-2026,239.7583
Kotak Bluechip,120841,22-04-2026,238.5702
Kotak Bluechip,120841,21-04-2026,236.4598
Kotak Bluechip,120841,20-04-2026,235.1961
Kotak Bluechip,120841,17-04-2026,236.2133
